lat,long,mag
31.70728239,-104.170904,3
17.95283333,-66.84616667,2.19
19.40633392,-155.2720032,2.15
39.5873,-120.432,0.8
19.24933243,-155.4063263,2
19.14,-155.3675,3.14
38.7905006,-122.7256699,1.04
17.94833333,-66.959,2.49
38.8353333,-122.7873333,1.92
38.8125,-122.8061676,1.06
17.9375,-66.843,2.34
34.5993333,-118.2635,1.11
33.3235,-116.282,0.83
38.8083344,-122.7829971,0.85
38.8381653,-122.8368301,0.36
33.7611667,-116.9281667,0.22
33.5308333,-116.5335,0.5
-17.955,-178.5624,4.3
36.5558333,-121.1556667,2.04
19.16966629,-155.3673401,1.82
40.2063333,-121.1523333,2.97
19.388834,-155.2771606,2.27
19.41816711,-155.2619934,2.33
38.5156,-119.5042,1.2
40.2096667,-121.1533333,2.81
47.7135,-113.7786667,1.88
45.3785,-112.5583333,0.13
17.93566667,-66.965,2.23
17.9565,-66.9575,3.69
33.3473333,-116.4055,0.55
36.36033333,-96.766,0.01
37.0691667,-121.514,1.16
19.31783333,-155.12,0.7
34.145,-116.133,0.72
32.131,-115.1936667,2.07
38.847,-122.8186667,0.46
19.39216667,-155.2805,0.41
19.43533333,-155.3266667,0.71
63.2285,-151.2783,1.8
58.3768,-154.2734,1.5
19.40483333,-155.2916667,0.21
19.39566667,-155.2708333,0.38
